1 Ave & E 110 St	 (0, 2) 
1 Ave & E 16 St	 (31, 21) 
1 Ave & E 18 St	 (168, 136) 
1 Ave & E 30 St	 (6, 14) 
1 Ave & E 44 St	 (3, 10) 
1 Ave & E 62 St	 (7, 5) 
1 Ave & E 68 St	 (18, 14) 
1 Ave & E 78 St	 (135, 123) 
1 Ave & E 94 St	 (0, 2) 
1 Pl & Clinton St	 (3, 0) 
10 Ave & W 28 St	 (6, 3) 
10 Hudson Yards	 (0, 2) 
10 St & 5 Ave	 (1, 0) 
10 St & 7 Ave	 (1, 2) 
11 Ave & W 27 St	 (6, 10) 
11 Ave & W 41 St	 (4, 5) 
11 Ave & W 59 St	 (8, 6) 
12 Ave & W 40 St	 (12, 15) 
14 St & 5 Ave	 (1, 1) 
14 St & 7 Ave	 (2, 2) 
2 Ave & E 104 St	 (1, 1) 
2 Ave & E 122 St	 (0, 2) 
2 Ave & E 31 St	 (6, 5) 
2 Ave & E 72 St	 (15, 11) 
2 Ave & E 96 St	 (3, 0) 
2 Ave & E 99 St	 (1, 1) 
21 St & 43 Ave	 (0, 1) 
27 St & Hunter St	 (2, 1) 
3 Ave & E 100 St	 (1, 1) 
3 Ave & E 62 St	 (2, 0) 
3 Ave & E 71 St	 (0, 2) 
3 Ave & E 72 St	 (1, 1) 
3 Ave & Schermerhorn St	 (0, 1) 
3 St & 7 Ave	 (33, 32) 
3 St & Hoyt St	 (0, 1) 
3 St & Prospect Park West	 (1, 2) 
31 St & 23 Ave	 (1, 0) 
31 St & Thomson Ave	 (0, 2) 
34 Ave & 13 St	 (1, 0) 
35 Ave & 10 St	 (0, 1) 
35 Ave & 37 St	 (0, 1) 
4 Ave & 9 St	 (1, 0) 
40 Ave & 9 St	 (1, 0) 
43 St & Broadway	 (0, 1) 
44 Dr & Jackson Ave	 (0, 3) 
45 Rd & 11 St	 (0, 2) 
46 Ave & 5 St	 (14, 11) 
47 Ave & 31 St	 (0, 2) 
48 Ave & 30 Pl	 (1, 3) 
48 Ave & 5 St	 (1, 1) 
5 Ave & E 103 St	 (2, 1) 
5 Ave & E 29 St	 (5, 12) 
5 Ave & E 63 St	 (0, 4) 
5 Ave & E 73 St	 (1, 6) 
5 Ave & E 78 St	 (2, 3) 
5 Ave & E 88 St	 (1, 0) 
5 St & Market St	 (1, 1) 
6 Ave & 9 St	 (2, 1) 
6 Ave & Broome St	 (9, 6) 
6 Ave & Canal St	 (6, 18) 
6 Ave & W 33 St	 (4, 2) 
6 St & 7 Ave	 (1, 0) 
7 Ave & Central Park South	 (9, 7) 
7 Ave & Park Pl	 (7, 9) 
7 St & 3 Ave	 (1, 0) 
7 St & 5 Ave	 (0, 1) 
8 Ave & W 31 St	 (20, 20) 
8 Ave & W 33 St	 (4, 8) 
8 Ave & W 52 St	 (0, 5) 
9 Ave & W 18 St	 (6, 3) 
9 Ave & W 28 St	 (4, 5) 
9 Ave & W 45 St	 (6, 3) 
9 St & 44 Rd	 (3, 0) 
Adam Clayton Powell Blvd & W 126 St	 (0, 1) 
Adelphi St & Myrtle Ave	 (2, 0) 
Allen St & Hester St	 (5, 9) 
Allen St & Rivington St	 (7, 4) 
Allen St & Stanton St	 (14, 11) 
Amsterdam Ave & W 66 St	 (4, 4) 
Amsterdam Ave & W 73 St	 (4, 1) 
Amsterdam Ave & W 79 St	 (1, 1) 
Amsterdam Ave & W 82 St	 (3, 3) 
Atlantic Ave & Fort Greene Pl	 (4, 5) 
Atlantic Ave & Furman St	 (0, 1) 
Avenue C & E 18 St	 (8, 5) 
Avenue D & E 12 St	 (6, 2) 
Avenue D & E 3 St	 (6, 8) 
Avenue D & E 8 St	 (3, 7) 
Bank St & Hudson St	 (95, 100) 
Bank St & Washington St	 (5, 5) 
Banker St & Meserole Ave	 (2, 4) 
Barclay St & Church St	 (11, 9) 
Barrow St & Hudson St	 (13, 7) 
Bayard St & Baxter St	 (2, 9) 
Bayard St & Leonard St	 (1, 0) 
Bedford Ave & Bergen St	 (0, 2) 
Bedford Ave & Nassau Ave	 (4, 2) 
Bedford Ave & S 9 St	 (3, 2) 
Bergen St & Flatbush Ave	 (0, 2) 
Bergen St & Smith St	 (5, 5) 
Bergen St & Vanderbilt Ave	 (2, 2) 
Berkeley Pl & 6 Ave	 (0, 1) 
Berkeley Pl & 7 Ave	 (1, 2) 
Berry St & N 8 St	 (0, 2) 
Bialystoker Pl & Delancey St	 (1, 0) 
Bond St & Bergen St	 (3, 0) 
Bond St & Fulton St	 (3, 6) 
Broad St & Bridge St	 (60, 61) 
Broadway & 12 St	 (1, 1) 
Broadway & Battery Pl	 (8, 19) 
Broadway & Berry St	 (14, 12) 
Broadway & E 14 St	 (16, 12) 
Broadway & E 22 St	 (13, 24) 
Broadway & Roebling St	 (2, 0) 
Broadway & W 25 St	 (5, 12) 
Broadway & W 29 St	 (9, 7) 
Broadway & W 36 St	 (5, 3) 
Broadway & W 37 St	 (3, 6) 
Broadway & W 38 St	 (2, 4) 
Broadway & W 41 St	 (10, 13) 
Broadway & W 49 St	 (8, 7) 
Broadway & W 51 St	 (1, 6) 
Broadway & W 53 St	 (2, 2) 
Broadway & W 56 St	 (9, 9) 
Broadway & W 60 St	 (13, 13) 
Bus Slip & State St	 (3, 9) 
Bushwick Ave & Powers St	 (1, 0) 
Butler St & Court St	 (1, 1) 
Cadman Plaza E & Red Cross Pl	 (11, 7) 
Cadman Plaza West & Montague St	 (2, 0) 
Cambridge Pl & Gates Ave	 (1, 0) 
Canal St & Rutgers St	 (10, 5) 
Carlton Ave & Dean St	 (3, 1) 
Carlton Ave & Flushing Ave	 (1, 1) 
Carlton Ave & Park Ave	 (1, 2) 
Carmine St & 6 Ave	 (17, 14) 
Carroll St & 5 Ave	 (1, 2) 
Carroll St & 6 Ave	 (1, 1) 
Carroll St & Bond St	 (2, 2) 
Carroll St & Columbia St	 (3, 0) 
Carroll St & Franklin Ave	 (0, 1) 
Carroll St & Smith St	 (1, 0) 
Catherine St & Monroe St	 (0, 5) 
Center Blvd & 48 Ave	 (7, 5) 
Center Blvd & 51 Ave	 (4, 1) 
Central Ave & Starr Street	 (0, 1) 
Central Park North & Adam Clayton Powell Blvd	 (1, 0) 
Central Park S & 6 Ave	 (5, 1) 
Central Park W & W 96 St	 (3, 2) 
Central Park West & W 100 St	 (2, 2) 
Central Park West & W 68 St	 (3, 4) 
Central Park West & W 72 St	 (2, 2) 
Central Park West & W 76 St	 (0, 6) 
Central Park West & W 85 St	 (5, 4) 
Centre St & Chambers St	 (15, 10) 
Centre St & Worth St	 (2, 4) 
Cherry St	 (2, 1) 
Christopher St & Greenwich St	 (17, 13) 
Clark St & Henry St	 (1, 1) 
Classon Ave & St Marks Ave	 (39, 35) 
Clermont Ave & Lafayette Ave	 (1, 2) 
Clermont Ave & Park Ave	 (1, 1) 
Cleveland Pl & Spring St	 (9, 18) 
Cliff St & Fulton St	 (6, 5) 
Clinton Ave & Myrtle Ave	 (55, 54) 
Clinton St & 4 Place	 (1, 2) 
Clinton St & Grand St	 (9, 6) 
Clinton St & Joralemon St	 (1, 0) 
Clinton St & Union St	 (5, 1) 
Coffey St & Conover St	 (1, 1) 
Columbia Heights & Cranberry St	 (0, 1) 
Columbia St & Degraw St	 (3, 2) 
Columbia St & Kane St	 (0, 2) 
Columbia St & Rivington St	 (4, 2) 
Columbus Ave & W 72 St	 (1, 1) 
Commerce St & Van Brunt St	 (2, 1) 
Concord St & Bridge St	 (2, 0) 
Congress St & Clinton St	 (1, 1) 
Cooper Square & Astor Pl	 (6, 6) 
Court St & State St	 (1, 2) 
Cumberland St & Lafayette Ave	 (1, 2) 
DeKalb Ave & Hudson Ave	 (6, 5) 
DeKalb Ave & S Portland Ave	 (4, 3) 
DeKalb Ave & Vanderbilt Ave	 (3, 0) 
Dean St & 4 Ave	 (1, 6) 
Dean St & Franklin Ave	 (1, 1) 
Dean St & Hoyt St	 (1, 3) 
Degraw St & Hoyt St	 (2, 2) 
Degraw St & Smith St	 (3, 3) 
Division St & Bowery	 (5, 3) 
Dock 72 Way & Market St	 (0, 4) 
