1 Ave & E 16 St	 (24, 16) 
1 Ave & E 18 St	 (191, 210) 
1 Ave & E 30 St	 (4, 7) 
1 Ave & E 44 St	 (3, 7) 
1 Ave & E 62 St	 (11, 7) 
1 Ave & E 68 St	 (8, 8) 
1 Ave & E 78 St	 (194, 180) 
1 Ave & E 94 St	 (2, 3) 
1 Pl & Clinton St	 (1, 1) 
10 Hudson Yards	 (1, 1) 
10 St & 2 Ave	 (0, 1) 
10 St & 5 Ave	 (0, 1) 
10 St & 7 Ave	 (4, 5) 
11 Ave & W 27 St	 (14, 25) 
11 Ave & W 41 St	 (10, 11) 
11 Ave & W 59 St	 (12, 13) 
12 Ave & W 40 St	 (45, 43) 
14 St & 5 Ave	 (2, 2) 
14 St & 7 Ave	 (4, 5) 
2 Ave & 36 St - Citi Bike HQ at Industry City	 (0, 1) 
2 Ave & E 104 St	 (1, 0) 
2 Ave & E 31 St	 (12, 5) 
2 Ave & E 72 St	 (7, 11) 
2 Ave & E 96 St	 (1, 2) 
2 Ave & E 99 St	 (1, 1) 
21 St & 43 Ave	 (1, 0) 
21 St & Hoyt Ave S	 (1, 0) 
24 St & 41 Ave	 (1, 0) 
27 St & Hunter St	 (2, 1) 
28 Ave & 35 St	 (0, 1) 
28 St & 38 Ave	 (0, 1) 
28 St & 41 Ave	 (2, 0) 
3 Ave & 14 St	 (1, 1) 
3 Ave & E 62 St	 (2, 1) 
3 Ave & E 71 St	 (1, 0) 
3 Ave & E 72 St	 (0, 1) 
3 Ave & E 95 St	 (2, 1) 
3 Ave & Schermerhorn St	 (5, 4) 
3 St & 3 Ave	 (1, 1) 
3 St & 7 Ave	 (74, 77) 
3 St & Hoyt St	 (1, 0) 
3 St & Prospect Park West	 (2, 8) 
30 Ave & 21 St	 (0, 1) 
31 St & Hoyt Ave N	 (0, 1) 
35 Ave & 10 St	 (1, 0) 
35 Ave & 37 St	 (0, 1) 
35 St & 34 Ave	 (1, 0) 
35 St & Broadway	 (0, 1) 
36 Ave & 10 St	 (1, 0) 
37 Ave & 35 St	 (1, 0) 
4 Ave & 9 St	 (0, 1) 
40 Ave & 9 St	 (3, 0) 
44 Dr & 21 St	 (1, 1) 
44 Dr & Jackson Ave	 (1, 0) 
45 Rd & 11 St	 (2, 5) 
46 Ave & 5 St	 (14, 16) 
48 Ave & 5 St	 (0, 1) 
5 Ave & 3 St	 (6, 1) 
5 Ave & E 103 St	 (2, 3) 
5 Ave & E 29 St	 (6, 9) 
5 Ave & E 63 St	 (5, 6) 
5 Ave & E 73 St	 (10, 10) 
5 Ave & E 78 St	 (9, 11) 
5 Ave & E 88 St	 (1, 6) 
5 Ave & E 93 St	 (0, 1) 
5 St & 51 Ave	 (1, 0) 
5 St & Market St	 (1, 1) 
6 Ave & 12 St	 (0, 2) 
6 Ave & 9 St	 (3, 3) 
6 Ave & Broome St	 (12, 13) 
6 Ave & Canal St	 (17, 7) 
6 St & 7 Ave	 (1, 0) 
7 Ave & Central Park South	 (12, 12) 
7 Ave & Park Pl	 (9, 9) 
7 St & 3 Ave	 (3, 0) 
7 St & 5 Ave	 (2, 0) 
8 Ave & W 31 St	 (22, 22) 
8 Ave & W 33 St	 (6, 9) 
8 Ave & W 52 St	 (9, 12) 
9 Ave & W 18 St	 (7, 7) 
9 Ave & W 28 St	 (7, 7) 
9 Ave & W 45 St	 (3, 2) 
9 St & 44 Rd	 (0, 2) 
Adam Clayton Powell Blvd & W 118 St	 (1, 0) 
Adelphi St & Myrtle Ave	 (1, 1) 
Allen St & Hester St	 (15, 3) 
Allen St & Rivington St	 (12, 15) 
Allen St & Stanton St	 (14, 14) 
Amsterdam Ave & W 125 St	 (3, 1) 
Amsterdam Ave & W 66 St	 (2, 1) 
Amsterdam Ave & W 73 St	 (7, 9) 
Amsterdam Ave & W 79 St	 (1, 9) 
Amsterdam Ave & W 82 St	 (3, 6) 
Atlantic Ave & Fort Greene Pl	 (6, 3) 
Atlantic Ave & Furman St	 (4, 8) 
Avenue C & E 18 St	 (4, 4) 
Avenue D & E 12 St	 (5, 2) 
Avenue D & E 3 St	 (8, 4) 
Avenue D & E 8 St	 (3, 5) 
Baltic St & 5 Ave	 (2, 2) 
Bank St & Hudson St	 (209, 204) 
Bank St & Washington St	 (14, 15) 
Banker St & Meserole Ave	 (2, 4) 
Barclay St & Church St	 (5, 3) 
Barrow St & Hudson St	 (24, 14) 
Bayard St & Baxter St	 (12, 10) 
Bayard St & Leonard St	 (2, 5) 
Bedford Ave & Bergen St	 (2, 3) 
Bedford Ave & Nassau Ave	 (10, 5) 
Bedford Ave & S 9 St	 (1, 1) 
Bergen St & Flatbush Ave	 (3, 1) 
Bergen St & Smith St	 (5, 3) 
Bergen St & Vanderbilt Ave	 (6, 1) 
Berkeley Pl & 6 Ave	 (2, 0) 
Berkeley Pl & 7 Ave	 (3, 6) 
Berry St & N 8 St	 (1, 5) 
Bialystoker Pl & Delancey St	 (0, 2) 
Boerum St & Broadway	 (1, 1) 
Bond St & Bergen St	 (2, 2) 
Bond St & Fulton St	 (3, 6) 
Broad St & Bridge St	 (49, 61) 
Broadway & Battery Pl	 (14, 20) 
Broadway & Berry St	 (8, 7) 
Broadway & E 14 St	 (20, 26) 
Broadway & E 22 St	 (18, 20) 
Broadway & Moylan Pl	 (2, 2) 
Broadway & Roebling St	 (3, 7) 
Broadway & W 122 St	 (0, 6) 
Broadway & W 25 St	 (8, 16) 
Broadway & W 29 St	 (13, 10) 
Broadway & W 37 St	 (11, 5) 
Broadway & W 38 St	 (4, 2) 
Broadway & W 41 St	 (10, 3) 
Broadway & W 49 St	 (5, 3) 
Broadway & W 51 St	 (5, 0) 
Broadway & W 56 St	 (7, 4) 
Broadway & W 60 St	 (18, 14) 
Broadway & Whipple St	 (2, 0) 
Bus Slip & State St	 (20, 18) 
Bushwick Ave & Powers St	 (3, 2) 
Butler St & Court St	 (2, 0) 
Cadman Plaza E & Red Cross Pl	 (4, 1) 
Cadman Plaza West & Montague St	 (2, 1) 
Cambridge Pl & Gates Ave	 (3, 2) 
Canal St & Rutgers St	 (13, 11) 
Carlton Ave & Flushing Ave	 (1, 0) 
Carmine St & 6 Ave	 (15, 24) 
Carroll St & 6 Ave	 (0, 3) 
Carroll St & Bond St	 (1, 2) 
Carroll St & Columbia St	 (1, 0) 
Carroll St & Smith St	 (2, 4) 
Cathedral Pkwy & Broadway	 (3, 0) 
Catherine St & Monroe St	 (3, 7) 
Cedar St & Myrtle Ave	 (0, 3) 
Center Blvd & 48 Ave	 (4, 5) 
Center Blvd & 51 Ave	 (10, 9) 
Central Ave & Flushing Ave	 (1, 0) 
Central Ave & Starr Street	 (0, 2) 
Central Park S & 6 Ave	 (2, 3) 
Central Park W & W 96 St	 (2, 5) 
Central Park West & W 100 St	 (2, 2) 
